# t = 0
0 0
0.01 0
0.02 0
0.03 0
0.04 0
0.05 0
0.06 0
0.07 0
0.08 0
0.09 0
0.1 0
0.11 0
0.12 0
0.13 0
0.14 0
0.15 0
0.16 0
0.17 0
0.18 0
0.19 0
0.2 0
0.21 0
0.22 0
0.23 0
0.24 0
0.25 0
0.26 0
0.27 0
0.28 0
0.29 0
0.3 0
0.31 0
0.32 0
0.33 0
0.34 0
0.35 0
0.36 0
0.37 0
0.38 0
0.39 0
0.4 0
0.41 0
0.42 0
0.43 0
0.44 0
0.45 0
0.46 0
0.47 0
0.48 0
0.49 0
0.5 0
0.51 0
0.52 0
0.53 0
0.54 0
0.55 0
0.56 0
0.57 0
0.58 0
0.59 0
0.6 0
0.61 0
0.62 0
0.63 0
0.64 0
0.65 0
0.66 0
0.67 0
0.68 0
0.69 0
0.7 0
0.71 0
0.72 0
0.73 0
0.74 0
0.75 0
0.76 0
0.77 0
0.78 0
0.79 0
0.8 0
0.81 0
0.82 0
0.83 0
0.84 0
0.85 0
0.86 0
0.87 0
0.88 0
0.89 0
0.9 0
0.91 0
0.92 0
0.93 0
0.94 0
0.95 0
0.96 0
0.97 -0.6
0.98 9
0.99 100
1 100

# t = 0.285696
0 0
0.01 0
0.02 0.219323
0.03 0.454982
0.04 0.692986
0.05 0.932919
0.06 1.17534
0.07 1.42086
0.08 1.67013
0.09 1.92378
0.1 2.18244
0.11 2.44673
0.12 2.71731
0.13 2.99479
0.14 3.27981
0.15 3.573
0.16 3.87501
0.17 4.18645
0.18 4.50797
0.19 4.84019
0.2 5.18375
0.21 5.53927
0.22 5.90737
0.23 6.28869
0.24 6.68385
0.25 7.09346
0.26 7.51814
0.27 7.9585
0.28 8.41514
0.29 8.88868
0.3 9.3797
0.31 9.88879
0.32 10.4165
0.33 10.9635
0.34 11.5303
0.35 12.1174
0.36 12.7253
0.37 13.3547
0.38 14.0061
0.39 14.6798
0.4 15.3765
0.41 16.0967
0.42 16.8406
0.43 17.6089
0.44 18.4019
0.45 19.22
0.46 20.0636
0.47 20.933
0.48 21.8287
0.49 22.7509
0.5 23.6998
0.51 24.6758
0.52 25.6791
0.53 26.7099
0.54 27.7683
0.55 28.8545
0.56 29.9687
0.57 31.1108
0.58 32.281
0.59 33.4793
0.6 34.7056
0.61 35.9598
0.62 37.242
0.63 38.5519
0.64 39.8894
0.65 41.2544
0.66 42.6465
0.67 44.0655
0.68 45.511
0.69 46.9828
0.7 48.4805
0.71 50.0035
0.72 51.5515
0.73 53.1239
0.74 54.7202
0.75 56.3399
0.76 57.9823
0.77 59.6467
0.78 61.3325
0.79 63.039
0.8 64.7654
0.81 66.511
0.82 68.2748
0.83 70.0561
0.84 71.8541
0.85 73.6677
0.86 75.4961
0.87 77.3383
0.88 79.1934
0.89 81.0603
0.9 82.9381
0.91 84.8256
0.92 86.7219
0.93 88.6258
0.94 90.5363
0.95 92.4523
0.96 94.3726
0.97 96.2956
0.98 98.2115
0.99 100
1 100

# t = 0.571392
0 0
0.01 0
0.02 0.626264
0.03 1.29782
0.04 1.97328
0.05 2.65001
0.06 3.32813
0.07 4.00798
0.08 4.68991
0.09 5.37426
0.1 6.06138
0.11 6.7516
0.12 7.44527
0.13 8.14272
0.14 8.84427
0.15 9.55027
0.16 10.261
0.17 10.9768
0.18 11.6981
0.19 12.425
0.2 13.1579
0.21 13.8971
0.22 14.6429
0.23 15.3955
0.24 16.1553
0.25 16.9225
0.26 17.6974
0.27 18.4802
0.28 19.2712
0.29 20.0706
0.3 20.8787
0.31 21.6956
0.32 22.5216
0.33 23.3569
0.34 24.2016
0.35 25.0561
0.36 25.9203
0.37 26.7946
0.38 27.6791
0.39 28.5738
0.4 29.479
0.41 30.3948
0.42 31.3212
0.43 32.2584
0.44 33.2066
0.45 34.1656
0.46 35.1357
0.47 36.1169
0.48 37.1092
0.49 38.1127
0.5 39.1274
0.51 40.1533
0.52 41.1904
0.53 42.2387
0.54 43.2981
0.55 44.3688
0.56 45.4505
0.57 46.5432
0.58 47.647
0.59 48.7616
0.6 49.887
0.61 51.0232
0.62 52.1699
0.63 53.3271
0.64 54.4946
0.65 55.6723
0.66 56.86
0.67 58.0576
0.68 59.2648
0.69 60.4816
0.7 61.7076
0.71 62.9427
0.72 64.1867
0.73 65.4393
0.74 66.7003
0.75 67.9695
0.76 69.2466
0.77 70.5313
0.78 71.8233
0.79 73.1225
0.8 74.4284
0.81 75.7409
0.82 77.0595
0.83 78.3841
0.84 79.7142
0.85 81.0496
0.86 82.3899
0.87 83.7348
0.88 85.084
0.89 86.4371
0.9 87.7938
0.91 89.1537
0.92 90.5164
0.93 91.8817
0.94 93.2492
0.95 94.6184
0.96 95.9891
0.97 97.3604
0.98 98.7258
0.99 100
1 100

# t = 0.857088
0 0
0.01 0
0.02 0.814789
0.03 1.68822
0.04 2.56613
0.05 3.44477
0.06 4.32402
0.07 5.204
0.08 6.08486
0.09 6.96673
0.1 7.84977
0.11 8.73411
0.12 9.61991
0.13 10.5073
0.14 11.3964
0.15 12.2874
0.16 13.1804
0.17 14.0755
0.18 14.9728
0.19 15.8726
0.2 16.7749
0.21 17.6798
0.22 18.5875
0.23 19.4981
0.24 20.4116
0.25 21.3283
0.26 22.2482
0.27 23.1714
0.28 24.098
0.29 25.0281
0.3 25.9619
0.31 26.8993
0.32 27.8406
0.33 28.7857
0.34 29.7348
0.35 30.688
0.36 31.6452
0.37 32.6066
0.38 33.5722
0.39 34.5421
0.4 35.5164
0.41 36.495
0.42 37.4781
0.43 38.4657
0.44 39.4578
0.45 40.4544
0.46 41.4556
0.47 42.4614
0.48 43.4718
0.49 44.4868
0.5 45.5065
0.51 46.5308
0.52 47.5597
0.53 48.5932
0.54 49.6314
0.55 50.6741
0.56 51.7214
0.57 52.7733
0.58 53.8297
0.59 54.8905
0.6 55.9559
0.61 57.0256
0.62 58.0996
0.63 59.178
0.64 60.2605
0.65 61.3473
0.66 62.4382
0.67 63.5331
0.68 64.6319
0.69 65.7347
0.7 66.8412
0.71 67.9515
0.72 69.0654
0.73 70.1828
0.74 71.3036
0.75 72.4278
0.76 73.5552
0.77 74.6857
0.78 75.8192
0.79 76.9555
0.8 78.0947
0.81 79.2365
0.82 80.3808
0.83 81.5275
0.84 82.6765
0.85 83.8277
0.86 84.9808
0.87 86.1358
0.88 87.2925
0.89 88.4509
0.9 89.6106
0.91 90.7717
0.92 91.934
0.93 93.0973
0.94 94.2614
0.95 95.4263
0.96 96.5918
0.97 97.7572
0.98 98.9174
0.99 100
1 100

# t = 1.14278
0 0
0.01 0
0.02 0.893305
0.03 1.8508
0.04 2.81303
0.05 3.77576
0.06 4.73875
0.07 5.70205
0.08 6.66571
0.09 7.6298
0.1 8.59436
0.11 9.55947
0.12 10.5252
0.13 11.4915
0.14 12.4586
0.15 13.4265
0.16 14.3951
0.17 15.3647
0.18 16.3352
0.19 17.3067
0.2 18.2792
0.21 19.2528
0.22 20.2276
0.23 21.2035
0.24 22.1807
0.25 23.1592
0.26 24.139
0.27 25.1202
0.28 26.1028
0.29 27.0868
0.3 28.0724
0.31 29.0595
0.32 30.0481
0.33 31.0384
0.34 32.0303
0.35 33.0238
0.36 34.0191
0.37 35.0161
0.38 36.0148
0.39 37.0153
0.4 38.0176
0.41 39.0217
0.42 40.0276
0.43 41.0354
0.44 42.0451
0.45 43.0567
0.46 44.0701
0.47 45.0854
0.48 46.1027
